YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1960   1   1    32766.0    32766.0        8.4       -1.2        1.4    32766.0       85.0        0.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   2    32766.0        3.4       10.0       -1.9        0.6    32766.0       82.0        0.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   3    32766.0        3.5        9.6       -1.9        0.9    32766.0       81.0        0.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   4    32766.0        4.7       11.5       -1.1        1.2    32766.0       81.0        0.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   5    32766.0        6.6        8.9        5.5        2.0    32766.0       90.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   6    32766.0        6.8       10.9        2.9        0.9    32766.0       83.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   7    32766.0        8.8       11.5        7.0        0.4    32766.0       67.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   8    32766.0        7.7        9.2        7.1        0.6    32766.0       92.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1   9    32766.0        7.2        9.5        6.2        1.4    32766.0       94.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  10    32766.0        6.2       12.4        1.6        0.6    32766.0       90.0        0.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  11    32766.0        5.4       12.4       -1.2        1.4    32766.0       83.0        0.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  12    32766.0        7.9        9.6        5.7        0.4    32766.0       86.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  13    32766.0        7.8       11.9        4.7        0.9    32766.0       90.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  14    32766.0        8.8       12.4        3.7        1.4    32766.0       82.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  15    32766.0        8.3       11.4        7.5        3.0    32766.0       74.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  16    32766.0        6.0        9.4        2.1        2.0    32766.0       82.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  17    32766.0        7.2        9.0        5.6        0.9    32766.0       85.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  18    32766.0        7.5       10.3        5.9        0.4    32766.0       85.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  19    32766.0        6.6       12.7        1.1        0.9    32766.0       84.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  20    32766.0        8.1       11.0        5.4        1.7    32766.0       83.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  21    32766.0        8.6       13.5        3.4        3.1    32766.0       76.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  22    32766.0        7.5       10.3        6.3        6.1    32766.0       64.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  23    32766.0        2.5        6.4        1.3        5.9    32766.0       85.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  24    32766.0        0.5        2.0       -0.9        1.2    32766.0       94.0        1.6    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  25    32766.0        1.8        7.4       -2.2        0.6    32766.0       84.0        0.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  26    32766.0        2.8        8.6       -1.5        1.5    32766.0       78.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  27    32766.0        4.2       11.5       -0.6        1.2    32766.0       75.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  28    32766.0        4.7       12.1       -1.7        1.2    32766.0       78.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  29    32766.0        5.1        7.6        2.4        1.2    32766.0       82.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  30    32766.0        5.0       11.2        0.1        1.2    32766.0       79.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   1  31    32766.0        5.0        9.1        0.3        1.2    32766.0       80.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   1    32766.0        7.6       10.4        5.7        2.0    32766.0       72.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   2    32766.0        7.1       10.9        3.2        1.7    32766.0       87.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   3    32766.0        7.6        9.5        5.7        1.2    32766.0       94.0        0.6    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   4    32766.0        8.2       12.6        5.2        2.6    32766.0       78.0        0.8    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   5    32766.0        6.8       13.0        1.1        1.4    32766.0       81.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   6    32766.0        7.2       14.6        0.9        1.2    32766.0       78.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   7    32766.0       10.6       16.9        5.2        1.4    32766.0       70.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   8    32766.0       10.1       17.1        3.7        1.2    32766.0       80.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2   9    32766.0       10.7       13.9        8.3        1.4    32766.0       87.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  10    32766.0       12.2       16.9        9.9        0.6    32766.0       83.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  11    32766.0       10.7       12.6        9.7        0.9    32766.0       96.0        0.6    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  12    32766.0       10.1       12.2        9.6        1.4    32766.0       95.0        2.2    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  13    32766.0        9.8       12.7        8.8        0.9    32766.0       81.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  14    32766.0        9.3       10.6        7.6        0.6    32766.0       98.0        4.6    32766.0    32766.0    32766.0   32766.0   32766.0
