YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1958   1   1        0.0        7.7       10.8        6.4        2.8    32766.0       89.0        1.6    32766.0    32766.0    32766.0   32766.0       0.6
1958   1   2        0.0        4.2        7.4        2.6        4.5    32766.0       65.0        0.1    32766.0    32766.0    32766.0   32766.0       2.2
1958   1   3        0.0        2.6        4.4        1.3        4.3    32766.0       58.0        0.0    32766.0    32766.0    32766.0   32766.0       2.7
1958   1   4        0.4        3.3        6.7        2.2        2.8    32766.0       72.0        0.0    32766.0    32766.0    32766.0   32766.0       2.0
1958   1   5        0.0        4.4        8.4       -0.5        0.8    32766.0       72.0        0.0    32766.0    32766.0    32766.0   32766.0       1.4
1958   1   6        0.0        7.0        9.8        4.8        1.5    32766.0       72.0        0.0    32766.0    32766.0    32766.0   32766.0       1.7
1958   1   7        0.0        7.8       11.1        6.4        1.0    32766.0       78.0        0.0    32766.0    32766.0    32766.0   32766.0       1.4
1958   1   8        3.8        8.8       14.8        4.4        1.8    32766.0       83.0        0.0    32766.0    32766.0    32766.0   32766.0       2.0
1958   1   9        3.2       11.0       16.5        9.4        1.0    32766.0       83.0        0.0    32766.0    32766.0    32766.0   32766.0       2.3
1958   1  10        4.8       13.3       18.9        9.1        3.3    32766.0       70.0        0.0    32766.0    32766.0    32766.0   32766.0       3.8
1958   1  11        7.2       12.3       20.0        5.7        1.5    32766.0       76.0        0.0    32766.0    32766.0    32766.0   32766.0       3.4
1958   1  12        8.6       13.1       20.9        6.0        3.0    32766.0       72.0        0.0    32766.0    32766.0    32766.0   32766.0       4.5
1958   1  13        8.8       13.3       20.0        9.4        3.3    32766.0       73.0        0.0    32766.0    32766.0    32766.0   32766.0       3.9
1958   1  14        0.0        7.0       15.3        2.8        4.3    32766.0       81.0        0.2    32766.0    32766.0    32766.0   32766.0       1.5
1958   1  15        0.0       -1.2        2.9       -2.4        4.3    32766.0       77.0        0.0    32766.0    32766.0    32766.0   32766.0       1.6
1958   1  16        0.0       -2.6       -0.8       -4.0        3.0    32766.0       87.0        0.0    32766.0    32766.0    32766.0   32766.0       0.1
1958   1  17        0.1       -0.5        2.4       -2.6        3.3    32766.0       80.0        0.2    32766.0    32766.0    32766.0   32766.0       0.8
1958   1  18        0.0        2.6        5.6        0.3        2.0    32766.0       65.0        0.0    32766.0    32766.0    32766.0   32766.0       2.0
1958   1  19        9.0        4.6       13.4       -1.5        0.8    32766.0       69.0        0.0    32766.0    32766.0    32766.0   32766.0       2.7
1958   1  20        8.7        5.7       16.4       -1.2        1.5    32766.0       78.0        0.0    32766.0    32766.0    32766.0   32766.0       2.9
1958   1  21        0.0        8.4       10.8        3.8        2.0    32766.0       87.0        0.0    32766.0    32766.0    32766.0   32766.0       0.9
