station ID,sta province,sta name,lat,lon,alt,年份,seeding data,emergence data,transplanting data,reviving data,tillering data,jointing data,booting data,heading data,maturity data
56280,四川,名山,30.08,103.12,691.3,1986,1986/3/27,1986/4/1,1986/5/28,1986/6/2,1986/6/12,1986/6/29,1986/7/25,1986/8/5,1986/9/5
56280,四川,名山,30.08,103.12,691.3,1987,1987/3/26,1987/3/31,1987/5/23,1987/5/29,1987/6/3,1987/7/1,1987/7/19,1987/7/30,1987/9/3
56280,四川,名山,30.08,103.12,691.3,1988,1988/4/7,1988/4/9,1988/5/31,1988/6/4,1988/6/11,1988/7/2,1988/7/23,1988/8/2,1988/9/7
56280,四川,名山,30.08,103.12,691.3,1989,1989/4/4,1989/4/6,1989/5/28,1989/6/2,1989/6/12,1989/7/4,1989/7/23,1989/8/4,1989/9/13
56280,四川,名山,30.08,103.12,691.3,1990,1990/4/1,1990/4/3,1990/5/25,1990/5/30,1990/6/7,1990/7/2,1990/7/22,1990/8/2,1990/9/9
56491,四川,宜宾,28.7,104.57,287,1986,1986/3/22,1986/4/2,1986/5/17,1986/5/24,1986/6/3,1986/6/29,1986/7/16,1986/7/27,1986/8/30
56491,四川,宜宾,28.7,104.57,287,1987,1987/3/11,1987/3/12,1987/5/7,1987/5/12,1987/5/23,1987/6/3,1987/7/1,1987/7/11,1987/8/10
56491,四川,宜宾,28.7,104.57,287,1988,1988/3/16,1988/3/18,1988/5/11,1988/5/16,1988/5/27,1988/6/13,1988/6/29,1988/7/10,1988/8/10
56491,四川,宜宾,28.7,104.57,287,1989,1989/3/24,1989/3/26,1989/5/12,1989/5/17,1989/5/28,1989/6/15,1989/7/9,1989/7/17,1989/8/14
56491,四川,宜宾,28.7,104.57,287,1990,1990/3/11,1990/3/17,1990/5/1,1990/5/8,1990/5/13,1990/6/20,1990/7/5,1990/7/14,1990/8/10
56844,云南,芒市,24.43,98.58,913.8,1986,1986/4/24,1986/4/29,1986/5/28,1986/6/2,1986/6/7,1986/12/31,1986/7/28,1986/8/8,1986/9/6
56844,云南,芒市,24.43,98.58,913.8,1987,1987/5/1,1987/5/7,1987/6/3,1987/6/9,1987/6/16,1987/12/31,1987/8/3,1987/8/14,1987/9/16
