站号,省份,站名,纬度,经度,高程
56280,四川,名山,30.08 ,103.12 ,691.3 
56491,四川,宜宾,28.70 ,104.57 ,287.0 
56844,云南,芒市,24.43 ,98.58 ,913.8 
56946,云南,耿马,23.55 ,99.40 ,1104.9 
56959,云南,景洪,22.00 ,100.78 ,582.0 
57206,四川,广元,32.43 ,105.85 ,513.8 
57249,湖北,竹溪,32.32 ,109.68 ,448.2 
57251,湖北,郧西,33.00 ,110.42 ,249.1 
57259,湖北,房县,32.03 ,110.77 ,426.9 
57268,湖北,谷城,32.27 ,111.63 ,87.8 
57313,四川,巴中,31.87 ,106.77 ,417.7 
57378,湖北,钟祥,31.17 ,112.57 ,65.8 
57381,湖北,随州,31.62 ,113.33 ,116.3 
57420,四川,大竹,30.75 ,107.18 ,418.0 
57482,湖北,孝感,30.90 ,113.95 ,25.5 
57517,重庆,江津,29.28 ,106.25 ,261.4 
57523,重庆,丰都,29.85 ,107.73 ,290.5 
57581,湖北,洪湖,29.82 ,113.45 ,27.4 
57717,贵州,遵义,27.53 ,106.83 ,974.1 
57749,湖南,怀化,27.57 ,110.00 ,257.8 
57841,湖南,靖州,26.57 ,109.67 ,320.3 
57889,湖南,桂东,26.08 ,113.95 ,835.9 
57912,贵州,惠水,26.13 ,106.63 ,990.9 
57926,贵州,荔波,25.42 ,107.88 ,428.7 
58027,江苏,徐州,34.28 ,117.15 ,41.2 
58141,江苏,淮阴,33.63 ,119.02 ,14.4 
58240,安徽,天长,32.68 ,119.02 ,21.3 
58243,江苏,兴化,32.93 ,119.83 ,3.0 
58250,江苏,姜堰,32.52 ,120.15 ,6.2 
58311,安徽,六安,31.73 ,116.50 ,74.1 
58824,福建,明溪,26.40 ,117.15 ,357.4 
58836,福建,古田,26.58 ,118.73 ,361.5 
59205,云南,富宁,23.65 ,105.63 ,685.8 
59313,广东,饶平,23.68 ,116.98 ,44.7 
59757,海南,琼山,20.00 ,110.37 ,9.9 
59849,海南,琼中,19.03 ,109.83 ,250.9 
58237,江苏 ,浦口,32.07 ,118.58 ,46.6 
58693,江西 ,南昌,28.33 ,115.57 ,31.9 
58529,江西 ,婺源,29.16 ,117.51 ,80.9 
57696,江西 ,宜丰,28.24 ,114.47 ,91.7 
57789,江西 ,莲花,27.08 ,113.57 ,189.0 
57646,湖南,古丈,28.62 ,109.95 ,302.1 
57554,湖南,桑植,29.40 ,110.17 ,322.2 
57460,湖北,当阳,30.82 ,111.78 ,91.8 
57545,湖北,来凤,29.53 ,109.42 ,502.8 
57590,湖北,咸宁,29.85 ,114.37 ,98.8 
57476,湖北,荆州,30.35 ,112.15 ,31.8 
58146,江苏,建湖,33.47 ,119.77 ,3.0 
58448,浙江,临安,30.22 ,119.70 ,117.6 
58215,安徽,寿县,32.55 ,116.78 ,22.7 
