Date,TemAver,SID,year,season
1986-05-28,23.0,56280,1986,1
1986-05-29,23.4,56280,1986,1
1986-05-30,21.6,56280,1986,1
1986-05-31,24.1,56280,1986,1
1986-06-01,24.8,56280,1986,1
1986-06-02,22.8,56280,1986,1
1986-06-03,24.6,56280,1986,1
1986-06-04,21.1,56280,1986,1
1986-06-05,20.1,56280,1986,1
1986-06-06,17.5,56280,1986,1
1986-06-07,17.7,56280,1986,1
1986-06-08,18.3,56280,1986,1
1986-06-09,19.5,56280,1986,1
1986-06-10,21.4,56280,1986,1
1986-06-11,24.8,56280,1986,1
1986-06-12,24.8,56280,1986,1
1986-06-13,24.7,56280,1986,1
1986-06-14,21.0,56280,1986,1
1986-06-15,21.3,56280,1986,1
1986-06-16,24.9,56280,1986,1
1986-06-17,23.9,56280,1986,1
1986-06-18,22.0,56280,1986,1
1986-06-19,20.4,56280,1986,1
1986-06-20,19.7,56280,1986,1
1986-06-21,22.4,56280,1986,1
1986-06-22,23.6,56280,1986,1
1986-06-23,23.6,56280,1986,1
1986-06-24,24.5,56280,1986,1
1986-06-25,25.0,56280,1986,1
1986-06-26,25.5,56280,1986,1
1986-06-27,24.8,56280,1986,1
1986-06-28,26.6,56280,1986,1
1986-06-29,27.0,56280,1986,1
1986-06-30,25.6,56280,1986,1
1986-07-01,25.8,56280,1986,1
1986-07-02,24.9,56280,1986,1
1986-07-03,23.8,56280,1986,1
1986-07-04,23.8,56280,1986,1
1986-07-05,25.6,56280,1986,1
1986-07-06,25.8,56280,1986,1
1986-07-07,24.5,56280,1986,1
1986-07-08,26.3,56280,1986,1
1986-07-09,23.7,56280,1986,1
1986-07-10,22.1,56280,1986,1
1986-07-11,24.4,56280,1986,1
1986-07-12,22.4,56280,1986,1
1986-07-13,23.2,56280,1986,1
1986-07-14,26.5,56280,1986,1
1986-07-15,22.3,56280,1986,1
1986-07-16,23.8,56280,1986,1
1986-07-17,24.9,56280,1986,1
1986-07-18,23.7,56280,1986,1
1986-07-19,24.2,56280,1986,1
1986-07-20,24.1,56280,1986,1
1986-07-21,23.6,56280,1986,1
1986-07-22,25.0,56280,1986,1
1986-07-23,23.4,56280,1986,1
1986-07-24,23.4,56280,1986,1
1986-07-25,24.8,56280,1986,1
1986-07-26,25.2,56280,1986,1
1986-07-27,25.6,56280,1986,1
1986-07-28,24.6,56280,1986,1
1986-07-29,24.7,56280,1986,1
1986-07-30,24.3,56280,1986,1
1986-07-31,26.1,56280,1986,1
1986-08-01,26.0,56280,1986,1
1986-08-02,25.7,56280,1986,1
1986-08-03,23.1,56280,1986,1
1986-08-04,24.6,56280,1986,1
1986-08-05,24.3,56280,1986,1
1986-08-06,26.2,56280,1986,1
1986-08-07,26.4,56280,1986,1
1986-08-08,25.1,56280,1986,1
1986-08-09,25.2,56280,1986,1
1986-08-10,26.3,56280,1986,1
1986-08-11,27.7,56280,1986,1
1986-08-12,27.4,56280,1986,1
1986-08-13,26.8,56280,1986,1
1986-08-14,25.9,56280,1986,1
1986-08-15,22.1,56280,1986,1
1986-08-16,21.3,56280,1986,1
1986-08-17,22.8,56280,1986,1
1986-08-18,20.3,56280,1986,1
1986-08-19,23.6,56280,1986,1
